words,oxford_category,char_length,rare,gibberish,spec_char,number,sentence,word_length,LAION_freq,CoCo_freq,source
can,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,6442,1589,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
cap,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,353,450,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
car,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2973,7385,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
cat,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2824,17968,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
cop,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,164,172,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
cow,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,205,3322,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
cry,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,353,1,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
cue,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,71,4,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
cup,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1064,2653,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
cut,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1200,2090,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
dad,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,4492,80,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
dam,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,98,9,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
day,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,21006,4367,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
die,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1677,7,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
dig,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,241,21,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
dip,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,154,118,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
dog,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,5004,18914,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
dot,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,393,132,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
dry,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,741,893,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
dub,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,466,0,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
due,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,310,19,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
duo,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,243,8,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
dvd,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1560,54,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
ear,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,681,523,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
eat,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,4020,1237,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
egg,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,617,394,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
ego,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,132,0,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
end,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2005,1022,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
era,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,289,43,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
eye,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1478,346,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
fan,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1032,274,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
far,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,830,282,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
fat,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,785,135,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
fee,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,166,3,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
few,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,114,1810,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
fit,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,833,60,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
fix,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,442,37,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
flu,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,139,0,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
fly,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,891,926,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
for,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,48702,11432,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
fry,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,133,123,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
fun,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,4056,384,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
fur,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,472,126,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
gap,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,230,21,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
gas,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,750,380,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
gay,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,462,29,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
get,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,5198,707,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
gig,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,46,0,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
god,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,3930,17,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
gun,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,644,93,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
gut,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,145,1,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
guy,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,952,2710,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
gym,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,980,92,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
hat,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,743,3529,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
her,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1436,10334,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
hey,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,578,30,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
him,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,525,2103,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
hip,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,861,31,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
his,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1586,20243,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
hit,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,747,2765,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
hot,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2708,3401,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
how,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,8479,346,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
ice,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1816,666,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
ill,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,192,5,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
ink,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,781,22,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
its,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,608,6180,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
jam,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,692,74,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
jet,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,249,2292,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
job,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1169,58,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
joy,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1378,11,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
key,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,966,118,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
kid,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1257,1676,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
kit,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2341,72,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
lab,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,745,79,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
lap,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,103,1126,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
law,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1840,29,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
lay,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,147,246,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
leg,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,156,357,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
let,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,3996,68,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
lie,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,339,127,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
lip,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,167,40,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
log,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,258,413,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
lot,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,441,4932,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
low,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1026,669,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
mad,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1051,21,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
man,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,4318,76267,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
map,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,509,119,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
may,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2469,78,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
may,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2469,78,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
mix,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1658,73,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
mob,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,207,3,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
mom,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,5549,137,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
mud,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,243,206,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
net,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,5219,532,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
new,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,20460,575,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
nod,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,25,1,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
nor,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,145,0,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
not,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,10546,804,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
now,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,6196,117,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
nut,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,172,33,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
odd,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,105,202,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
off,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,4842,4437,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
oil,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1508,95,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
old,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,3299,7040,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
one,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,11203,9058,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
opt,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,46,0,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
our,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,5765,17,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
out,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,5859,10336,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
owe,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,57,0,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
own,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2620,183,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
pad,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,380,158,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
pan,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,289,1519,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
pay,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,577,88,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
pen,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,224,1003,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
per,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,457,22,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
pet,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1430,254,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
pig,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,406,76,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
pin,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,394,155,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
pit,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,193,84,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
pop,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2030,46,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
pot,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,408,957,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
put,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,523,324,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
rat,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,282,28,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
raw,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,633,119,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
ray,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1394,24,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
red,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,4495,18111,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
rid,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,113,1,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
rip,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,194,7,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
rob,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,472,3,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
rod,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,347,55,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
row,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,318,1909,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
rub,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,148,24,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
run,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,3079,784,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
sad,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,324,113,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
say,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1512,70,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
sea,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1699,526,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
see,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1393,643,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
set,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,3001,2799,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
sex,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,156,16,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
she,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2250,911,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
shy,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,83,4,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
sin,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,296,11,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
sir,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,212,0,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
sit,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,171,4049,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
six,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,650,459,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
ski,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,385,3488,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
sky,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1150,6386,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
son,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1446,194,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
spy,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,206,1,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
sue,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,305,0,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
sum,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,218,9,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
sun,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1790,1383,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
tag,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,405,193,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
