prompts,type
"A child's toy block set arranged on a playroom floor to spell out ""text"", colorful stuffed animals and toys scattered around, sunlight streaming through the window.",complex
"A chocolate cake on a table and candles lit and ready to be blown out and with icing writing that says ""text"".",complex
"A city bus passing by and an advertisement on its side displaying the text ""text"" and with bright images.",complex
"A city marathon with runners passing by, banners overhead displaying ""text"", spectators cheering on the sidelines.",complex
"A city mural painted on the side of a brick building, featuring vibrant colors and intricate designs, the words ""text"" cleverly incorporated into the artwork, and pedestrians stopping to admire it.",complex
"A city park during a cultural festival, stalls representing different countries, a stage where dancers perform under a banner that says ""text"".",complex
"A city street at night during a festival, lanterns hanging above, a shop sign illuminated with ""text"", people enjoying the festivities.",complex
"A city's skyline at sunset with skyscrapers silhouetted against the colorful sky, the clouds forming the letters ""text"" naturally as they drift, reflections in a river below.",complex
"A cityscape at night with illuminated skyscrapers, one building features a light display spelling ""text"" across its facade, reflections on the nearby river.",complex
"A classic car show with gleaming vintage automobiles, one car with a personalized license plate reading ""text"", and crowds admiring.",complex
"A classroom filled with attentive students, a teacher writing ""text"" on a smartboard, educational posters on the walls.",complex
"A close-up of a wristwatch with intricate gears visible through a transparent face, the brand name ""text"" engraved on the dial, and the watch resting on a leather-bound book.",complex
"A college campus with students walking between classes, a statue in the courtyard engraved with ""text"", birds perched on it.",complex
"A colorful banner hanging at a birthday party and balloons and streamers all around and displaying the text ""text"" in bright letters.",complex
"A colorful hot air balloon floating gracefully over a patchwork of green fields at sunrise, the side of the balloon decorated with intricate patterns and the text ""text"" in bold letters, with distant mountains in the background.",complex
"A colorful parade moving down a city street, a float shaped like the text ""text"" adorned with flowers and dancers.",complex
"A colorful wristband on someone's arm and printed with the text ""text"" and as they clap at a concert.",complex
"A community bulletin board filled with flyers and notices and one prominent flyer with bold letters that reads the text ""text"" and pinned with a thumbtack.",complex
"A computer keyboard with keys lit up in rainbow colors, the spacebar customized to read ""text"", and a gaming mouse beside it.",complex
"A computer screen filled with lines of complex code in a dimly lit room with multiple monitors, a highlighted comment within the code says ""text"", neon lights glowing around the room, and a coffee mug on the desk.",complex
"A computer screen on a white desk and displaying a screensaver with swirling colors and large text that says ""text"".",complex
"A concert stage with a band performing under bright lights, a backdrop banner displaying ""text"" in stylized font, and fans cheering.",complex
"A cozy bookstore with wooden shelves and reading nooks, a display table featuring a book titled ""text"" with an eye-catching cover.",complex
"A cozy living room during the holidays, a fireplace crackling, stockings hung with names including ""text"", a decorated tree nearby.",complex
"A cozy living room with a fireplace, family photos on the mantel, one photo prominently showing a family reunion with a banner in the background reading ""text"".",complex
"A cruise ship deck with people relaxing on lounge chairs, a pool nearby, and a life preserver hanging on the railing with the ship's name ""text"" printed on it.",complex
"A customized license plate on a shiny red sports car parked at a scenic overlook, the plate reads ""text"", and the sunset reflecting off the car's surface.",complex
"A decorative pillow on a sofa and embroidered with flowers and butterflies and the text ""text"" and in a cozy living room.",complex
"A desert landscape with towering sand dunes, a solitary traveler approaching an ancient stone archway engraved with mysterious symbols and the text ""text"".",complex
"A desert scene with sand dunes, a caravan of camels in the distance, and an ancient stone with hieroglyphs translating to ""text"".",complex
"A farmer's field of sunflowers stretching to the horizon, a wooden sign at the entrance reading ""text"", and bees buzzing around.",complex
"A farmer's market stall overflowing with fresh fruits and vegetables, baskets of colorful produce neatly arranged, and a handwritten wooden sign hanging above that says ""text"".",complex
"A fashion runway show with models walking, one model wearing a dress patterned with the text ""text"" in various fonts, photographers flashing cameras.",complex
"A fashion runway show with models wearing avant-garde designs, one outfit prominently features the text ""text"" as part of the pattern, audience applauding.",complex
"A festival of lanterns being released into the night sky, each lantern bearing the text ""text"" written in calligraphy.",complex
"A film set with cameras and crew bustling, a clapperboard in the foreground labeled ""text"", and actors preparing.",complex
"A flower shop with a colorful display, a chalkboard sign outside that reads ""text"", bees buzzing around the flowers.",complex
"A framed certificate hanging on an office wall among other accolades, the award title is ""text"" in ornate lettering, a potted plant on a nearby shelf.",complex
"A friendly golden retriever wearing a colorful bandana around its neck, the bandana has ""text"" printed on it, the dog happily sitting in a sunlit park with people and other dogs playing nearby.",complex
"A futuristic city at night with flying cars and neon signs, one holographic billboard projecting the text ""text"" above the streets.",complex
"A futuristic city with flying cars and glass towers, a massive holographic advertisement displaying ""text"" in bold letters, people walking below with wearable tech.",complex
"A futuristic laboratory with robotic arms and screens, a central computer displaying ""text"", scientists observing.",complex
"A futuristic train station with sleek architecture and holographic departure boards, one board prominently displaying ""text"" as the next destination.",complex
"A galaxy with swirling stars and planets, at the center, cosmic dust forms the text ""text"", nebulae glowing in vibrant colors.",complex
"A garden bench under a blooming cherry blossom tree in a tranquil park, a bronze plaque on the backrest engraved with ""text"", petals gently falling and covering the ground.",complex
"A garden party with guests mingling under string lights, a sign by the entrance archway that says ""text"", and tables adorned with flowers.",complex
"A gift tag attached to a wrapped present with a pink ribbon and the tag reads ""text"" and in neat handwriting.",complex
"A graffiti-covered train passing through an urban landscape, one of the tags in bright colors spells out ""text"" in bold letters, with the city skyline in the background.",complex
"A grand library with towering shelves of books, a rolling ladder leaning against one shelf, and an open book on a reading table displaying a chapter titled ""text"".",complex
"A grand theater marquee lit up with dazzling lights at night, crowds dressed elegantly gathering below, and the sign announcing ""text"" in large ornate letters.",complex
"A greeting card with a bouquet of flowers on the cover and propped open on a mantelpiece and showing the message inside ""text"".",complex
"A group of graduates in caps and gowns throwing their caps into the air in celebration, the tassels have charms that read ""text"", the university building in the background.",complex
"A gym with people working out, motivational posters on the walls, one poster prominently displaying ""text"" in bold letters.",complex
"A harbor at sunrise with boats moored, a lighthouse in the distance, a sign on the dock saying ""text"".",complex
"A high school prom night in a decorated gymnasium, balloons and streamers everywhere, a banner above the dance floor that says ""text"".",complex
"A high-fashion boutique with mannequins in the window, a stylish sign above the door that reads ""text"", shoppers entering.",complex
"A high-tech control room with large screens and blinking lights, a central monitor displays ""text"", technicians working diligently.",complex
"A high-tech room with holographic displays and futuristic interfaces, the central holographic message reads ""text"" surrounded by floating data and charts.",complex
"A high-tech virtual reality gaming room with players immersed in their games, a large screen displaying ""text"" as the latest high score.",complex
"A historical battlefield reenactment, actors in period costumes, flags waving with the emblem ""text"", cannons and tents set up in the background.",complex
"A hot air balloon festival with numerous balloons ascending, one balloon shaped like a giant ""text"" floating among them.",complex
"A hot desert with towering pyramids, an archaeologist uncovering a stone tablet inscribed with ancient symbols translating to ""text"".",complex
"A keychain with a small metal plate that reads ""text"" and hanging from a set of keys.",complex
"A laboratory with scientists in white coats, a whiteboard filled with equations and diagrams, and ""text"" circled in red.",complex
"A large abstract painting hanging in a modern art gallery with people admiring it thoughtfully, the artwork depicting vibrant colors and shapes forming the text ""text"" subtly within the composition.",complex
"A large banner hanging over a marathon finish line and big letters that say ""text"" and as runners cross beneath it.",complex
"A large billboard along a busy highway in the countryside and showing the message ""text"" and fields in the background.",complex
"A large blank billboard towering over a busy city street at dusk and illuminated by city lights and displaying the text ""text"".",complex
"A large city park during autumn with leaves of red and gold, a wooden bench overlooking a pond where ducks swim, and a newspaper lying on the bench with the headline ""text"" in bold letters.",complex
"A library reading room with high ceilings and large windows, a table stacked with books, one open book shows a map titled ""text"".",complex
"A luggage tag attached to a leather suitcase and with the text ""text"" moving along the airport conveyor belt.",complex
"A luxurious cruise ship docked at a tropical island, the ship's name ""text"" painted on the side, passengers disembarking.",complex
"A medieval castle with banners flying from the towers, one banner bearing the emblem and the text ""text"", knights practicing below.",complex
"A medieval fair with people in period costumes, a scroll being read aloud with the proclamation of ""text"", trumpets sounding.",complex
"A medieval marketplace with merchants selling goods, a town crier standing on a box holding a scroll, proclaiming news with ""text"" in bold letters on the scroll.",complex
"A message in a glass bottle washed up on a sandy beach, the rolled-up paper inside partially visible and reads ""text"", seashells and driftwood surrounding it, waves gently lapping at the shore.",complex
"A mirror in an elegant dressing room adorned with ornate frames and soft lighting, a sticky note attached to the corner that says ""text"" in cursive handwriting, and a collection of perfumes and jewelry on the vanity table.",complex
"A modern art installation in a public square, sculptures forming the letters ""text"", people interacting and taking selfies.",complex
"A modern art museum with minimalist design, a large interactive digital display where visitors can input words, the screen currently shows ""text"" in dynamic, shifting typography.",complex
"A motivational poster on an office wall and showing a mountain peak and displaying the text ""text"" among other painting canvases.",complex
"A mountain biking trail through a dense forest, a wooden marker showing trail directions, one of them labeled ""text"", cyclists speeding by.",complex
"A mountain lake reflecting the peaks above, a wooden dock with a boat named ""text"", a person fishing quietly.",complex
"A mountain trail with hikers making their way up, a wooden signpost indicating the path to ""text"", with elevation details.",complex
"A music festival stage illuminated with vibrant lights and lasers, a large banner overhead that reads ""text"" in bold letters, a crowd of people dancing and cheering below.",complex
"A national park with vast canyons, an informational sign about ""text"", tourists taking photographs.",complex
"A neon sign glowing brightly at night in a busy city street filled with people and cars, displaying the words ""text"" among other flashing signs and advertisements, with reflections glistening on wet pavement.",complex
"A nighttime carnival with a Ferris wheel, bright lights, a ticket booth with ""text"" illuminated, families enjoying rides.",complex
"A notebook with a quote on the cover that says ""text"" and lying open on a white desk with doodles in the margins.",complex
"A pair of sneakers with custom artistic designs leaning against a graffiti-covered wall, the side of the shoe displays ""text"" among colorful patterns, and a skateboard lying nearby.",complex
"A paper cup from a coffee shop and with a brown sleeve that reads ""text"" and sitting on a park bench.",complex
"A passport open to a page with multiple colorful stamps, one prominently stamped with ""text"", maps and travel guides spread out on a table in the background.",complex
"A peaceful beach at dawn with soft waves lapping at the shore, a message written in the wet sand spelling out ""text"", seashells scattered around, and the sun just peeking over the horizon.",complex
"A peaceful zen garden with raked gravel patterns, a stone fountain, and a small wooden sign with the kanji characters for ""text"" meaningfully placed.",complex
"A picturesque vineyard during harvest season, grapevines heavy with fruit, a rustic sign that says ""text"", workers picking grapes.",complex
"A plain white t-shirt hanging on a clothesline under a sunny blue sky and with bold black text on the front that reads ""text"".",complex
"A plane soaring through a clear blue sky with a long banner trailing behind it that reads ""text"", fluffy white clouds scattered across the horizon, and birds flying in formation nearby.",complex
"A planet in outer space with glowing rings made of colorful particles, the rings form the letters ""text"" as they orbit, distant stars and nebulae visible in the background.",complex
"A postcard lying on a brown desk in a cozy bedroom and showing a sunset over the ocean and with the caption ""text"" written on it.",complex
"A pottery workshop with shelves of clay pots, an artist carving ""text"" into a vase, sunlight filtering through windows.",complex
"A professional photography studio with lighting equipment, a backdrop displaying the text ""text"", and a photographer adjusting the camera.",complex
"A protest sign held high in a crowd of people with the text ""text"" among other signs and hands raised all around.",complex
"A racing yacht cutting through ocean waves, sails emblazoned with ""text"", crew members working the ropes.",complex
"A rainforest scene with exotic animals, a wooden sign pointing to ""text"", a waterfall visible through the trees.",complex
"A rainy city street with people holding umbrellas, a bright neon sign reflected in the wet pavement reading ""text"", the warm interior visible through the windows.",complex
"A recipe book open on a marble kitchen counter with various ingredients like eggs, flour, and spices scattered around, the page titled ""text"" in bold letters, and a whisk lying next to a mixing bowl.",complex
"A reusable water bottle at the gym and labeled with the text ""text"" and sitting next to a towel.",complex
"A road sign on a bend in a mountain road and an arrow pointing ahead with the text ""text"" and as clouds drift over the peaks.",complex
"A robotics competition arena, a robot with ""text"" painted on its side battling another robot, excited spectators watching.",complex
"A rustic bakery with the smell of fresh bread, loaves displayed in the window, and a chalkboard sign that says ""text"".",complex
"A rustic wooden sign standing beside a quiet country road and surrounded by tall grass and wildflowers and with the text ""text"" painted in white letters.",complex
"A safari scene with wildlife grazing, a jeep with ""text"" painted on the side, tourists taking photographs.",complex
"A sailboat gliding across a calm lake surrounded by autumn trees, the sail featuring a design with ""text"" printed on it, reflections shimmering on the water.",complex
"A sandy path leading to a historic lighthouse perched on a rocky cliff by the sea, a weathered wooden signpost beside the path with ""text"" carved into it, wildflowers growing nearby, and seagulls flying overhead.",complex
"A science classroom with experiments set up on lab tables, a chalkboard filled with formulas, and ""text"" written at the top.",complex
"A science fair with students presenting projects, a display board titled ""text"" with diagrams and data, judges evaluating.",complex
"A serene Japanese garden with a stone lantern beside a koi pond, a wooden sign in kanji characters that translates to ""text"", cherry blossoms falling gently.",complex
"A serene lake at dusk with a small wooden pier, a rowboat tied to it with ""text"" painted on the side, ripples reflecting the colors of the sunset.",complex
"A shop window adorned with festive decorations and sunlight streaming through and featuring a sign that says ""text"".",complex
"A silver necklace with a heart-shaped pendant engraved with the text ""text"" and resting in a velvet box in a jewelry store.",complex
"A skateboard park with ramps and graffiti art, one mural depicting the text ""text"" in dynamic style, skateboarders performing tricks.",complex
"A sleek race car speeding down a track surrounded by cheering crowds, sponsor logos covering its body including the text ""text"", and motion blur emphasizing its speed.",complex
"A smartphone held in someone's hand and the screen displaying a text message that reads ""text"" against a background image of a beach.",complex
"A smooth stone in a garden and surrounded by flowers and green fresh grass and the text ""text"" written on it.",complex
"A snow-covered forest path with tall pine trees, a wooden trail sign pointing ahead with ""text"" carved into it, footprints leading deeper into the woods.",complex
"A snow-covered mountain peak with a group of climbers reaching the summit, a flag planted firmly into the snow that reads ""text"", the sunrise painting the sky with hues of pink and orange.",complex
"A snowy field with footprints leading up to a cheerful snowman wearing a scarf and hat, a wooden sign planted in the snow beside it that says ""text"" in carved letters, children playing nearby.",complex
"A snowy landscape with a train cutting through, smoke billowing, the side of the train marked ""text"" and passengers waving.",complex
"A snowy village during winter holidays, lights twinkling in windows, a sign over a shop door reading ""text"" in festive lettering.",complex
"A soccer ball lying on a lush green field with a group of kids playing energetically in the background, the ball featuring a colorful design and the text ""text"" printed prominently on its surface.",complex
"A soccer stadium filled with cheering fans, banners waving, one large banner across the stands reads ""text"", players in action on the field.",complex
"A spa retreat with bamboo plants and flowing water features, a stone pathway leading to a sign that says ""text"" in serene lettering.",complex
"A spaceship in a science fiction scene, hovering above an alien planet with rings and moons visible, the hull has the text ""text"" painted on it in futuristic font, stars and galaxies in the background.",complex
"A sports arena hosting a basketball game, the scoreboard displaying ""text"" as one of the team names, cheerleaders performing on the sidelines.",complex
"A sports stadium filled with cheering fans, a large screen displaying ""text"" as the winning team, fireworks exploding overhead.",complex
"A stained glass window in a historic cathedral depicting scenes from legends, intricate patterns and vivid colors forming the text ""text"" subtly among the images, sunlight filtering through casting colorful shadows.",complex
"A street food festival with various stalls, one food truck named ""text"" serving delicious dishes, people lining up.",complex
"A street musician playing a guitar on a busy sidewalk, an open guitar case with coins inside at his feet, and a sign propped up that reads ""text"", passersby stopping to listen.",complex
"A street sign at a crossroads in a small town and surrounded by dense jungle and pointing in different directions and with the text ""text"" on one of the signs.",complex
"A sunlit café terrace in Paris with small round tables, an artist sketching the scene, his canvas shows the text ""text"" incorporated into the drawing.",complex
"A sunny day at a theme park, a roller coaster with cars ascending the track, each car labeled with a letter spelling out ""text"", excited riders waving their hands.",complex
"A supermarket aisle with neatly arranged products, a sign hanging above indicating the section, the sign reads ""text"" in bold letters, shoppers browsing the shelves.",complex
"A surfboard standing upright in the golden sand of a beach, the design featuring tropical patterns and the text ""text"" in stylized letters, waves crashing behind and a sunset on the horizon.",complex
"A tablet on a modern office desk and next to a notepad and pen and the screen displaying the text ""text"".",complex
"A train station in the countryside with a vintage steam locomotive, the destination board showing ""text"", passengers boarding.",complex
"A treehouse nestled among forest trees, a wooden sign at the entrance that says ""text"", children playing inside.",complex
"A tropical beach with clear blue waters, a hammock strung between two palm trees, a book lying open on the hammock with ""text"" as the title.",complex
"A university lecture hall with students taking notes, a professor writing ""text"" on a large blackboard, diagrams drawn.",complex
"A vibrant city street market at night with colorful lanterns hanging overhead, a vendor's stall displaying handmade pottery, one of the pots intricately painted with the text ""text"".",complex
"A vineyard in the countryside, rows of grapevines, a sign over the entrance reading ""text"", and workers harvesting grapes.",complex
"A vintage bicycle leaning against a lamppost on a cobblestone street, a woven basket attached to the handlebars filled with fresh flowers, and a sign hanging from the handlebars that says ""text"".",complex
"A vintage movie poster displayed outside a historic cinema, the title ""text"" in bold retro lettering, with illustrations of classic film characters and actors' names below.",complex
"A vintage typewriter sitting on an antique wooden desk by a large open window overlooking a bustling city street, sunlight streaming in and casting intricate shadows, a sheet of paper with typed words that read ""text"", and a steaming cup of coffee beside it.",complex
"A vinyl record spinning on a vintage turntable in a dimly lit room filled with retro decor, the label in the center reads ""text"" surrounded by musical notes, and speakers emitting a soft glow.",complex
"A wall in a public space where people can write messages and the phrase ""text"" written among other notes and signatures.",complex
"A weathered billboard standing alone in a vast desert landscape under a clear blue sky, the words ""text"" in faded letters, a cactus and tumbleweeds nearby.",complex
"A wedding cake with multiple tiers, elegantly decorated with flowers, the topper spelling out ""text"" in cursive letters.",complex
"A welcome mat at a front door and the words ""text"" woven into it and a pair of boots and a plant beside it.",complex
"A white coffee mug on a kitchen counter full of dishes and with a smiling face and text printed that says ""text"" and steam rising from it.",complex
"A whiteboard in a meeting room with a plant near a large window and markers of different colors nearby and displaying the heading ""text"" and underlined twice.",complex
"A winter night scene in a small town square, a beautifully decorated Christmas tree, a sign next to it that says ""text"", families gathered around.",complex
"A yellow sticky note attached to a computer monitor and with a handwritten reminder that says ""text"" and a pen lying next to the keyboard.",complex
"A yoga studio with calm lighting, mats laid out, a wall decal with the text ""text"" in flowing script, an instructor leading a class.",complex
"A zen garden with carefully raked sand patterns, a rock formation in the center shaped like the text ""text"", and a monk meditating nearby.",complex
"An airport departure lounge with travelers waiting, a large screen showing flight ""text"" as boarding, and a plane visible through the windows.",complex
"An antique shop filled with curiosities, a vintage map framed on the wall with ""text"" marked at an X, old books and trinkets around.",complex
"An artist's canvas on an easel in a sunlit studio and paintbrushes and paints scattered about and with the words ""text"" painted in vibrant colors.",complex
"An artist's studio filled with canvases and sculptures, paint splatters on the floor, and a large canvas on an easel with ""text"" boldly painted across it.",complex
"An astronaut floating in space with Earth visible behind, the spaceship nearby has ""text"" painted boldly on its side, stars scattered across the background.",complex
"An elegant wedding reception in a grand hall, tables set with fine china, a banner above the head table that says ""text"" in gold letters.",complex
"An elegantly set candlelit dinner table under a canopy of twinkling fairy lights, fine china and crystal glasses arranged perfectly, place cards at each setting with one card reading ""text"" in elegant script.",complex
"An enchanted forest scene with mythical creatures, a moss-covered stone bearing runes that translate to ""text"", beams of light filtering through the trees.",complex
"An old parchment treasure map spread out on a pirate's wooden table, marked with various symbols and landmarks, the X marking the spot labeled ""text"", a compass and telescope lying nearby.",complex
"An old-fashioned train compartment with plush seats and vintage decor, a ticket stub on the seat reads ""text"", and a view of rolling hills through the window.",complex
"An open book on a library table and the page showing a chapter title that reads the text ""text"" and with reading glasses resting nearby.",complex
"An open notebook filled with mathematical equations and diagrams, pages slightly worn, at the bottom of the page a note reads ""text"", a pencil lying diagonally across the page.",complex
"An open notebook lying on a wooden table in a cozy cafe and a steaming cup of coffee next to it and with a handwritten note that says ""text"".",complex
"An outdoor music festival during sunset, colorful lights illuminating the stage, a giant screen behind the performers displaying ""text"" in sync with the music.",complex
"An underwater scene with colorful coral reefs, schools of fish swimming around, a sunken treasure chest with ""text"" engraved on the lid, bubbles rising to the surface.",complex
"An underwater scene with divers exploring a coral reef, an ancient sunken ship with the name ""text"" on the hull, schools of fish swimming by.",complex
